variable;libelle;codage
ff_proc;Respect de la procédure de décompression (Facteurs favorisants);"1 = OUI ; 0 = NON"
ff_entrainement;Manque d’entraînement à la plongée profonde (Facteurs favorisants);"1 = OUI ; 0 = NON"
ff_ludion;Plongées ludion (yo-yo) (Facteurs favorisants);"1 = OUI ; 0 = NON"
ff_fatigue;Fatigue (Facteurs favorisants);"1 = OUI ; 0 = NON"
ff_effort;Travail musculaire intense (Facteurs favorisants);"1 = OUI ; 0 = NON"
ff_instruction;Plongée d’instruction (Facteurs favorisants);"1 = OUI ; 0 = NON"
ff_insomnie;Insomnie (Facteurs favorisants);"1 = OUI ; 0 = NON"
ff_exercice24;Exercice physique dans les 24 h (Facteurs favorisants);"1 = OUI ; 0 = NON"
ff_froid;Eau froide (Facteurs favorisants);"1 = OUI ; 0 = NON"
ff_deshydrat;Déshydratation (Facteurs favorisants);"1 = OUI ; 0 = NON"
ff_env;Conditions environnementales (Facteurs favorisants);texte libre
histoire;Histoire de la maladie (Anamnèse);texte libre
sf_arrivee;Signes fonctionnels à l’arrivée (Anamnèse);texte libre
evol_avant_rec;Évolution avant recompression (Anamnèse);"0 = Amélioré ; 1 = Stable ; 2 = Aggravé"
ex_cv;Anomalie cardio-vasculaire (Examen clinique général);"1 = OUI ; 0 = NON"
ex_cv_txt;Préciser (Examen clinique général);texte libre
ex_pneumo;Anomalie respiratoire (Examen clinique général);"1 = OUI ; 0 = NON"
ex_pneumo_txt;Préciser (Examen clinique général);texte libre
ex_abdo;Anomalie abdominale (Examen clinique général);"1 = OUI ; 0 = NON"
ex_abdo_txt;Préciser (Examen clinique général);texte libre
ex_loco;Anomalie locomotrice (Examen clinique général);"1 = OUI ; 0 = NON"
ex_loco_txt;Préciser (Examen clinique général);texte libre
avpu;AVPU (Conscience);"1 = Alert ; 2 = Verbal ; 3 = Pain ; 4 = Unresponsive"
gcs_y;Glasgow — Ouverture des yeux (Y) (Conscience);"1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; NC = NC"
gcs_v;Glasgow — Réponse verbale (V) (Conscience);"1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5 ; NC = NC"
gcs_m;Glasgow — Réponse motrice (M) (Conscience);"1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5 ; 6 = 6 ; NC = NC"
gcs_tot;Score de Glasgow total (/15) (Conscience);texte libre
pup_sym;Pupilles symétriques (Fonctions supérieures);"1 = OUI ; 0 = NON"
pup_aniso;Anisocorie (Fonctions supérieures);"1 = OUI ; 0 = NON"
pup_aniso_cote;Pupille la plus large (Fonctions supérieures);"1 = D ; 2 = G"
pup_myd;Mydriase (Fonctions supérieures);"1 = OUI ; 0 = NON"
pup_myd_cote;Côté (Fonctions supérieures);"1 = D ; 2 = G ; 3 = Bilat."
pup_myo;Myosis (Fonctions supérieures);"1 = OUI ; 0 = NON"
pup_myo_cote;Côté (Fonctions supérieures);"1 = D ; 2 = G ; 3 = Bilat."
pup_rpm;Réflexe photomoteur présent (Fonctions supérieures);"1 = OUI ; 0 = NON"
pup_rpm_cote;Côté déficitaire (Fonctions supérieures);"1 = D ; 2 = G ; 3 = Bilat."
fs_comport;Troubles du comportement (Fonctions supérieures);"1 = OUI ; 0 = NON"
fs_dts;Désorientation temporo-spatiale (DTS) (Fonctions supérieures);"1 = OUI ; 0 = NON"
fs_parole;Troubles de la parole (Fonctions supérieures);"1 = OUI ; 0 = NON"
fs_visuel;Troubles visuels (Fonctions supérieures);"1 = OUI ; 0 = NON"
fs_visuel_cote;Côté (Fonctions supérieures);"1 = D ; 2 = G ; 3 = Bilat."
fs_audition;Troubles de l'audition (Fonctions supérieures);"1 = OUI ; 0 = NON"
fs_audition_cote;Côté (Fonctions supérieures);"1 = D ; 2 = G ; 3 = Bilat."
fs_acouph;Acouphènes (Fonctions supérieures);"1 = OUI ; 0 = NON"
fs_acouph_cote;Côté (Fonctions supérieures);"1 = D ; 2 = G ; 3 = Bilat."
fs_vertiges;Vertiges (Fonctions supérieures);"1 = OUI ; 0 = NON"
nys;Nystagmus (Fonctions supérieures);"1 = OUI ; 0 = NON"
nys_cote;Côté de la secousse rapide (Fonctions supérieures);"1 = D ; 2 = G"
nys_regard_centre;Position(s) du regard - Regard centré (Fonctions supérieures);"1 = coche ; 0 = non coche"
nys_regard_lat_d;Position(s) du regard - Regard latéral droit (Fonctions supérieures);"1 = coche ; 0 = non coche"
nys_regard_lat_g;Position(s) du regard - Regard latéral gauche (Fonctions supérieures);"1 = coche ; 0 = non coche"
nys_regard_haut;Position(s) du regard - Regard vers le haut (Fonctions supérieures);"1 = coche ; 0 = non coche"
nys_regard_bas;Position(s) du regard - Regard vers le bas (Fonctions supérieures);"1 = coche ; 0 = non coche"
nys_regard;Position(s) du regard - liste (Fonctions supérieures);texte, valeurs separees par |
nys_type;Sens du nystagmus (Fonctions supérieures);"1 = Même sens que la secousse rapide ; 2 = Sens inverse ; 3 = Girato-rotatoire"
vns;VNS (vidéonystagmoscopie) réalisée (Fonctions supérieures);"1 = OUI ; 0 = NON"
vns_spont;Nystagmus spontané sous VNS (Fonctions supérieures);"1 = OUI ; 0 = NON"
vns_spont_cote;Côté (secousse rapide) (Fonctions supérieures);"1 = D ; 2 = G"
vns_spont_regard_centre;Position(s) du regard - Regard centré (Fonctions supérieures);"1 = coche ; 0 = non coche"
vns_spont_regard_lat_d;Position(s) du regard - Regard latéral droit (Fonctions supérieures);"1 = coche ; 0 = non coche"
vns_spont_regard_lat_g;Position(s) du regard - Regard latéral gauche (Fonctions supérieures);"1 = coche ; 0 = non coche"
vns_spont_regard_haut;Position(s) du regard - Regard vers le haut (Fonctions supérieures);"1 = coche ; 0 = non coche"
vns_spont_regard_bas;Position(s) du regard - Regard vers le bas (Fonctions supérieures);"1 = coche ; 0 = non coche"
vns_spont_regard;Position(s) du regard - liste (Fonctions supérieures);texte, valeurs separees par |
vns_sensib;VNS sensibilisée (Fonctions supérieures);"1 = OUI ; 0 = NON"
vns_niv;NIV — nystagmus induit par vibration (Fonctions supérieures);"1 = OUI ; 0 = NON"
vns_niv_cote;Côté (secousse rapide) (Fonctions supérieures);"1 = D ; 2 = G"
vns_niv_regard_centre;Position(s) du regard - Regard centré (Fonctions supérieures);"1 = coche ; 0 = non coche"
vns_niv_regard_lat_d;Position(s) du regard - Regard latéral droit (Fonctions supérieures);"1 = coche ; 0 = non coche"
vns_niv_regard_lat_g;Position(s) du regard - Regard latéral gauche (Fonctions supérieures);"1 = coche ; 0 = non coche"
vns_niv_regard_haut;Position(s) du regard - Regard vers le haut (Fonctions supérieures);"1 = coche ; 0 = non coche"
vns_niv_regard_bas;Position(s) du regard - Regard vers le bas (Fonctions supérieures);"1 = coche ; 0 = non coche"
vns_niv_regard;Position(s) du regard - liste (Fonctions supérieures);texte, valeurs separees par |
oto_D;Otoscopie — oreille DROITE (ORL et barotraumatisme);"0 = Normal ; 1 = Stade 1 ; 2 = Stade 2 ; 3 = Stade 3 ; 4 = Stade 4 ; 5 = Stade 5"
oto_G;Otoscopie — oreille GAUCHE (ORL et barotraumatisme);"0 = Normal ; 1 = Stade 1 ; 2 = Stade 2 ; 3 = Stade 3 ; 4 = Stade 4 ; 5 = Stade 5"
oto_epanch_D;Épanchement rétro-tympanique DROIT (ORL et barotraumatisme);"1 = OUI ; 0 = NON"
oto_epanch_G;Épanchement rétro-tympanique GAUCHE (ORL et barotraumatisme);"1 = OUI ; 0 = NON"
valsalva_D;Perméabilité tubaire (Valsalva) DROITE (ORL et barotraumatisme);"2 = Perméable ; 1 = Difficile ; 0 = Impossible"
valsalva_G;Perméabilité tubaire (Valsalva) GAUCHE (ORL et barotraumatisme);"2 = Perméable ; 1 = Difficile ; 0 = Impossible"
weber;Test de Weber (ORL et barotraumatisme);"0 = Non latéralisé ; 1 = Latéralisé à DROITE ; 2 = Latéralisé à GAUCHE"
rinne_D;Test de Rinne DROIT (ORL et barotraumatisme);"1 = Positif (CA > CO) ; 0 = Négatif (CO > CA)"
rinne_G;Test de Rinne GAUCHE (ORL et barotraumatisme);"1 = Positif (CA > CO) ; 0 = Négatif (CO > CA)"
orl_txt;Commentaire ORL (ORL et barotraumatisme);texte libre
sf_ceph;Céphalées (Signes fonctionnels);"1 = OUI ; 0 = NON"
sf_rachis;Douleur rachidienne (Signes fonctionnels);"1 = OUI ; 0 = NON"
sf_rachis_loc_cervicale;Localisation - Cervicale (Signes fonctionnels);"1 = coche ; 0 = non coche"
sf_rachis_loc_dorsale;Localisation - Dorsale (Signes fonctionnels);"1 = coche ; 0 = non coche"
sf_rachis_loc_lombaire;Localisation - Lombaire (Signes fonctionnels);"1 = coche ; 0 = non coche"
sf_rachis_loc;Localisation - liste (Signes fonctionnels);texte, valeurs separees par |
eva_type;Échelle de douleur utilisée (Signes fonctionnels);"1 = EVA (visuelle analogique) ; 2 = EN (échelle numérique) ; 3 = Non évaluable"
eva_score;Intensité de la douleur (/10) (Signes fonctionnels);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5 ; 6 = 6 ; 7 = 7 ; 8 = 8 ; 9 = 9 ; 10 = 10"
eva_loc;Siège de la douleur cotée (Signes fonctionnels);texte libre
sf_subj;Signes subjectifs (Signes fonctionnels);"1 = OUI ; 0 = NON"
sf_subj_cote;Côté (Signes fonctionnels);"1 = D ; 2 = G ; 3 = Bilat."
ref_bicip_D;Bicipital DROIT (Réflexes — membres supérieurs);"0 = Absent ; 1 = Présent ; 2 = Très vif"
ref_bicip_D_poly;Bicipital DROIT - reflexe polycinétique (Réflexes — membres supérieurs);"1 = present ; 0 = absent ; vide = reflexe non teste"
ref_bicip_D_etendu;Bicipital DROIT - reflexe étendu (Réflexes — membres supérieurs);"1 = present ; 0 = absent ; vide = reflexe non teste"
ref_bicip_G;Bicipital GAUCHE (Réflexes — membres supérieurs);"0 = Absent ; 1 = Présent ; 2 = Très vif"
ref_bicip_G_poly;Bicipital GAUCHE - reflexe polycinétique (Réflexes — membres supérieurs);"1 = present ; 0 = absent ; vide = reflexe non teste"
ref_bicip_G_etendu;Bicipital GAUCHE - reflexe étendu (Réflexes — membres supérieurs);"1 = present ; 0 = absent ; vide = reflexe non teste"
ref_tricip_D;Tricipital DROIT (Réflexes — membres supérieurs);"0 = Absent ; 1 = Présent ; 2 = Très vif"
ref_tricip_D_poly;Tricipital DROIT - reflexe polycinétique (Réflexes — membres supérieurs);"1 = present ; 0 = absent ; vide = reflexe non teste"
ref_tricip_D_etendu;Tricipital DROIT - reflexe étendu (Réflexes — membres supérieurs);"1 = present ; 0 = absent ; vide = reflexe non teste"
ref_tricip_G;Tricipital GAUCHE (Réflexes — membres supérieurs);"0 = Absent ; 1 = Présent ; 2 = Très vif"
ref_tricip_G_poly;Tricipital GAUCHE - reflexe polycinétique (Réflexes — membres supérieurs);"1 = present ; 0 = absent ; vide = reflexe non teste"
ref_tricip_G_etendu;Tricipital GAUCHE - reflexe étendu (Réflexes — membres supérieurs);"1 = present ; 0 = absent ; vide = reflexe non teste"
hoffman_D;Signe de Hoffmann DROIT (Réflexes — membres supérieurs);"1 = OUI ; 0 = NON"
hoffman_G;Signe de Hoffmann GAUCHE (Réflexes — membres supérieurs);"1 = OUI ; 0 = NON"
ref_rot_D;Rotulien DROIT (Réflexes — membres inférieurs);"0 = Absent ; 1 = Présent ; 2 = Très vif"
ref_rot_D_poly;Rotulien DROIT - reflexe polycinétique (Réflexes — membres inférieurs);"1 = present ; 0 = absent ; vide = reflexe non teste"
