variable;libelle;codage
ac_ecg;ECG (Actes, biologie et examens complémentaires);"1 = OUI ; 0 = NON"
ac_sonde;Sonde vésicale (Actes, biologie et examens complémentaires);"1 = OUI ; 0 = NON"
ac_doppler;Doppler transcrânien (Actes, biologie et examens complémentaires);"1 = OUI ; 0 = NON"
tb_table;Table utilisée (Actes, biologie et examens complémentaires);texte libre
tb_h_mep;Heure de mise en pression (Actes, biologie et examens complémentaires);HH:MM
tb_h_fin;Heure de fin (Actes, biologie et examens complémentaires);HH:MM
tb_delai;Délai 1ers symptômes → recompression (min) (Actes, biologie et examens complémentaires);texte libre
tb_nb_seances;Nombre de séances réalisées (Actes, biologie et examens complémentaires);texte libre
tb_complic;Complication thérapeutique (Actes, biologie et examens complémentaires);"1 = OUI ; 0 = NON"
tb_complic_txt;Préciser (Actes, biologie et examens complémentaires);texte libre
bio_add;Bilan accident de plongée prélevé (Actes, biologie et examens complémentaires);"1 = OUI ; 0 = NON"
bio_opi;Bilan œdème pulmonaire d’immersion prélevé (Actes, biologie et examens complémentaires);"1 = OUI ; 0 = NON"
bio_etude;Prélèvement pour étude complémentaire (Actes, biologie et examens complémentaires);"1 = OUI ; 0 = NON"
bio_autre;Autres prélèvements (Actes, biologie et examens complémentaires);texte libre
bio_res;Résultats marquants (Actes, biologie et examens complémentaires);texte libre
im_rp;Radiographie thoracique (Actes, biologie et examens complémentaires);"1 = OUI ; 0 = NON"
im_tdm;Scanner (Actes, biologie et examens complémentaires);"1 = OUI ; 0 = NON"
im_irm;IRM (Actes, biologie et examens complémentaires);"1 = OUI ; 0 = NON"
im_eto;Échographie cardiaque / recherche de FOP (Actes, biologie et examens complémentaires);"1 = OUI ; 0 = NON"
im_autre;Autres examens (Actes, biologie et examens complémentaires);texte libre
im_res;Résultats des examens réalisés (Actes, biologie et examens complémentaires);texte libre
im_demande;Examens demandés, en attente (Actes, biologie et examens complémentaires);texte libre
rx_o2;Oxygène normobare (Traitements prescrits);"1 = OUI ; 0 = NON"
rx_solu;Méthylprednisolone (Traitements prescrits);"1 = OUI ; 0 = NON"
rx_solu_dose;Dose (mg) (Traitements prescrits);texte libre (mg)
rx_solu_h;Heure (Traitements prescrits);HH:MM
rx_aspi;Aspirine (Traitements prescrits);"1 = OUI ; 0 = NON"
rx_aspi_dose;Dose (mg) (Traitements prescrits);texte libre (mg)
rx_aspi_h;Heure (Traitements prescrits);HH:MM
rx_nacl;Remplissage (Traitements prescrits);"1 = OUI ; 0 = NON"
rx_nacl_vol;Volume (mL) (Traitements prescrits);texte libre (mL)
rx_antalg;Antalgiques (Traitements prescrits);texte libre
rx_autres;Autres traitements (Traitements prescrits);texte libre
ev_seances;Séances réalisées depuis la dernière consultation (Évolution depuis la consultation précédente);texte libre
ev_complic;Complication thérapeutique depuis la dernière consultation (Évolution depuis la consultation précédente);"1 = OUI ; 0 = NON"
ev_complic_txt;Préciser (Évolution depuis la consultation précédente);texte libre
ev_sens;Évolution clinique (Évolution depuis la consultation précédente);"0 = Amélioré ; 1 = Stable ; 2 = Aggravé"
ev_txt;Commentaire d’évolution (Évolution depuis la consultation précédente);texte libre
ev_exam_faits;Examens complémentaires réalisés depuis (Évolution depuis la consultation précédente);texte libre
ev_exam_demandes;Examens complémentaires demandés (Évolution depuis la consultation précédente);texte libre
conclusion;Conclusion de l'examen (Conclusion);"1 = Examen neurologique normal ; 2 = Examen neurologique anormal ; 3 = À recontrôler"
orientation;Orientation (Conclusion);"1 = Retour au domicile ; 2 = Hospitalisation en service de médecine ; 3 = Hospitalisation en surveillance continue ; 4 = Hospitalisation en soins intensifs ; 5 = Transfert vers une autre structure"
orientation_autre;Préciser la structure (Conclusion);texte libre
orientation_txt;Précisions sur l'orientation (Conclusion);texte libre
notes;Commentaires libres (Conclusion);texte libre
pj_nb;Nombre de photographies jointes;"entier ; vide = aucune"
pj_titres;Titres des photographies jointes;texte, separes par |
gcs_nc;Glasgow : modalites non cotables;"entier 1 a 3 ; vide = aucune modalite NC. Un total gcs_tot vide avec gcs_nc renseigne signifie score non calculable, et non score manquant"
orl_interp;Interpretation acoumetrique (deduite de Weber et Rinne);"0 = acoumetrie symetrique ; 1 = transmission droite ; 2 = transmission gauche ; 3 = transmission bilaterale ; 4 = perception droite ; 5 = perception gauche ; 8 = resultats discordants ; vide = Weber ou Rinne non renseigne"
orl_interp_txt;Interpretation acoumetrique - phrase;texte (deduit, ne remplace pas l audiometrie)
sens_obj;Signes objectifs sensitifs;"1 = OUI ; 0 = NON (deduit des cotations) ; vide = sensibilites non examinees"
sens_lt_score;Tact léger - score total;"entier 0-112 ; les NT sont exclus du total"
sens_lt_score_D;Tact léger - score DROITE;entier 0-56
sens_lt_score_G;Tact léger - score GAUCHE;entier 0-56
sens_lt_nt;Tact léger - nombre de metameres non testables;entier 0-56
sens_lt_nb;Tact léger - nombre de metameres anormaux;entier 0-56
sens_lt_zones;Tact léger - liste des metameres anormaux;texte, separes par |
sens_lt_c2_D;Tact léger - metamere C2 D (Protubérance occipitale externe);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_c2_G;Tact léger - metamere C2 G (Protubérance occipitale externe);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_c3_D;Tact léger - metamere C3 D (Creux sus-claviculaire);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_c3_G;Tact léger - metamere C3 G (Creux sus-claviculaire);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_c4_D;Tact léger - metamere C4 D (Sommet de l’articulation acromio-claviculaire);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_c4_G;Tact léger - metamere C4 G (Sommet de l’articulation acromio-claviculaire);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_c5_D;Tact léger - metamere C5 D (Face latérale du pli du coude);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_c5_G;Tact léger - metamere C5 G (Face latérale du pli du coude);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_c6_D;Tact léger - metamere C6 D (Pouce, face dorsale P1);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_c6_G;Tact léger - metamere C6 G (Pouce, face dorsale P1);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_c7_D;Tact léger - metamere C7 D (Majeur, face dorsale P1);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_c7_G;Tact léger - metamere C7 G (Majeur, face dorsale P1);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_c8_D;Tact léger - metamere C8 D (Auriculaire, face dorsale P1);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_c8_G;Tact léger - metamere C8 G (Auriculaire, face dorsale P1);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t1_D;Tact léger - metamere T1 D (Face médiale du pli du coude);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t1_G;Tact léger - metamere T1 G (Face médiale du pli du coude);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t2_D;Tact léger - metamere T2 D (Apex du creux axillaire);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t2_G;Tact léger - metamere T2 G (Apex du creux axillaire);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t3_D;Tact léger - metamere T3 D (3e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t3_G;Tact léger - metamere T3 G (3e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t4_D;Tact léger - metamere T4 D (4e espace intercostal, ligne mamelonnaire);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t4_G;Tact léger - metamere T4 G (4e espace intercostal, ligne mamelonnaire);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t5_D;Tact léger - metamere T5 D (5e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t5_G;Tact léger - metamere T5 G (5e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t6_D;Tact léger - metamere T6 D (Appendice xiphoïde);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t6_G;Tact léger - metamere T6 G (Appendice xiphoïde);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t7_D;Tact léger - metamere T7 D (7e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t7_G;Tact léger - metamere T7 G (7e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t8_D;Tact léger - metamere T8 D (8e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t8_G;Tact léger - metamere T8 G (8e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t9_D;Tact léger - metamere T9 D (9e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t9_G;Tact léger - metamere T9 G (9e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t10_D;Tact léger - metamere T10 D (Ombilic);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t10_G;Tact léger - metamere T10 G (Ombilic);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t11_D;Tact léger - metamere T11 D (11e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t11_G;Tact léger - metamere T11 G (11e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t12_D;Tact léger - metamere T12 D (Milieu du ligament inguinal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_t12_G;Tact léger - metamere T12 G (Milieu du ligament inguinal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_l1_D;Tact léger - metamere L1 D (Mi-distance entre T12 et L2);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_l1_G;Tact léger - metamere L1 G (Mi-distance entre T12 et L2);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_l2_D;Tact léger - metamere L2 D (Face antéro-médiale de cuisse, tiers moyen);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_l2_G;Tact léger - metamere L2 G (Face antéro-médiale de cuisse, tiers moyen);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_l3_D;Tact léger - metamere L3 D (Condyle fémoral médial);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_l3_G;Tact léger - metamere L3 G (Condyle fémoral médial);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_l4_D;Tact léger - metamere L4 D (Malléole médiale);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_l4_G;Tact léger - metamere L4 G (Malléole médiale);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_l5_D;Tact léger - metamere L5 D (Dos du pied, 3e articulation métatarso-phalangienne);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_l5_G;Tact léger - metamere L5 G (Dos du pied, 3e articulation métatarso-phalangienne);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_s1_D;Tact léger - metamere S1 D (Face latérale du talon);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_s1_G;Tact léger - metamere S1 G (Face latérale du talon);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_s2_D;Tact léger - metamere S2 D (Creux poplité, ligne médiane);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_s2_G;Tact léger - metamere S2 G (Creux poplité, ligne médiane);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_s3_D;Tact léger - metamere S3 D (Tubérosité ischiatique);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_s3_G;Tact léger - metamere S3 G (Tubérosité ischiatique);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_s45_D;Tact léger - metamere S4-5 D (Région périanale, à moins d’un centimètre de la marge);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_lt_s45_G;Tact léger - metamere S4-5 G (Région périanale, à moins d’un centimètre de la marge);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_score;Piqûre - score total;"entier 0-112 ; les NT sont exclus du total"
sens_pp_score_D;Piqûre - score DROITE;entier 0-56
sens_pp_score_G;Piqûre - score GAUCHE;entier 0-56
sens_pp_nt;Piqûre - nombre de metameres non testables;entier 0-56
sens_pp_nb;Piqûre - nombre de metameres anormaux;entier 0-56
sens_pp_zones;Piqûre - liste des metameres anormaux;texte, separes par |
sens_pp_c2_D;Piqûre - metamere C2 D (Protubérance occipitale externe);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_c2_G;Piqûre - metamere C2 G (Protubérance occipitale externe);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_c3_D;Piqûre - metamere C3 D (Creux sus-claviculaire);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_c3_G;Piqûre - metamere C3 G (Creux sus-claviculaire);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_c4_D;Piqûre - metamere C4 D (Sommet de l’articulation acromio-claviculaire);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_c4_G;Piqûre - metamere C4 G (Sommet de l’articulation acromio-claviculaire);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_c5_D;Piqûre - metamere C5 D (Face latérale du pli du coude);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_c5_G;Piqûre - metamere C5 G (Face latérale du pli du coude);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_c6_D;Piqûre - metamere C6 D (Pouce, face dorsale P1);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_c6_G;Piqûre - metamere C6 G (Pouce, face dorsale P1);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_c7_D;Piqûre - metamere C7 D (Majeur, face dorsale P1);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_c7_G;Piqûre - metamere C7 G (Majeur, face dorsale P1);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_c8_D;Piqûre - metamere C8 D (Auriculaire, face dorsale P1);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_c8_G;Piqûre - metamere C8 G (Auriculaire, face dorsale P1);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t1_D;Piqûre - metamere T1 D (Face médiale du pli du coude);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t1_G;Piqûre - metamere T1 G (Face médiale du pli du coude);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t2_D;Piqûre - metamere T2 D (Apex du creux axillaire);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t2_G;Piqûre - metamere T2 G (Apex du creux axillaire);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
